"","2020","2030","2040","2050","2060","2070"
"14D",47952.0666236877,76703.1364887625,90767.5097503068,102237.44389913,109473.806938202,117906.029465157
"15A",306530.340982467,443705.094006973,532114.683193029,609048.956473983,664708.455761186,611420.367877771
"15B",285319.430518972,403129.53701264,492389.304420536,575699.62002837,643754.753327245,764491.198246062
"15C",23965.0477619694,38543.4135886076,46103.2181412575,52606.0303032922,57206.0058532067,66378.5559176052
"16E",100263.050578386,138679.282246057,164572.978248358,186009.049204461,200002.988277434,219911.852217155
"16F",127003.29176122,156863.406848886,234935.221986512,278172.735268443,315406.60220918,435104.017917686
"16G",70750.9753771612,119945.027410762,151253.992403108,183173.110725574,212719.631463191,319269.592850116
"17A",67607.4684066772,102613.705018338,139854.980999105,182856.897886929,228596.780757993,424545.835669576
"17B",17715.4063258956,26299.8343512588,31609.5187640914,36273.7750218663,39708.6335548292,47483.8538150421
"17C",90868.8373091981,125600.181849831,148671.617690805,167515.364911884,179445.512814983,193666.518424618
