"","2020","2030","2040","2050","2060","2070"
"3D",164040.396507204,199660.135100086,207063.330664226,200553.83081255,183593.494831511,161420.389614522
"3E",179350.858505452,232670.052609737,244361.67640727,240741.461737273,225310.133274954,203652.007097645
"3F",116760.069398488,141519.078608383,155924.987745492,163162.490083193,164090.956616921,160869.746911055
"4A",91472.9002402404,119289.085658624,125946.061144275,124947.575486496,117973.064805926,107773.183027189
"4B",727455.567486561,988052.508981758,1120559.81252856,1212407.09495896,1264035.87707592,1285106.83401163
"4C",549520.192271693,761752.359903315,926301.087182176,1077847.27144677,1205869.86861731,1307234.82256631
"4D",863856.233875598,1416638.50594132,1923503.20573445,2465244.0461097,2987328.94775443,3449862.84945713
"4E",574061.990409851,894123.804336434,1221802.79155611,1573777.87312832,1914278.53837691,2216807.32926388
"4F",146062.413778067,197611.357702138,229967.994565482,255914.172756787,274518.897893613,286721.238029226
"5C",107448.550344497,131117.323648997,138628.153621777,137781.413005381,130389.331086978,119442.438492629
"5D",522798.230223179,676823.496749637,752689.625684812,796321.535477515,810616.003489808,804718.268271044
"5E",733638.719857773,992735.253957023,1098853.62044247,1156175.38749898,1169847.4998286,1154158.78573398
"5F",209415.485254114,289425.856901145,316806.765563354,328915.376442619,327871.526420569,318444.38199919
"6A",30285.6414430904,39134.9967620459,42223.4604443412,43066.3669971951,42057.2200291187,39945.0064379654
"6B",31969.8032291047,42705.4341956562,43449.2483124598,40970.3792607755,36155.4612283742,30267.2832976069
"6C",229019.3636446,314257.95083411,386166.864777997,453895.114042841,512401.572582062,559710.623632994
"6D",281724.248671201,356680.467266842,381922.498049728,385843.660410057,372536.388695221,349320.006654159
"7A",274184.675263554,354070.867474546,401240.967691129,433748.074146512,451805.103174911,458927.270124406
"7B",97505.0667619705,114305.765834425,116296.665816534,109661.70153318,96774.0467108823,81013.6943830252
"7C",58972.5724721344,69957.3643350618,71420.4807856675,67676.3339156203,60134.7622671626,50822.8928689266
"7D",353290.247636199,505740.434713834,665196.848344974,830783.976865717,986775.775690927,1122575.38678389
"7E",81867.1821302983,102162.534764533,103941.932108056,98011.8308051019,86493.291191851,72407.2341473527
"7F",80158.5735645042,118532.902871149,154914.914171239,192442.547856252,227602.4621214,258079.033815253
"7G",59300.6466469241,70198.0922811498,72782.1291765724,70469.0912444496,64479.4060744867,56657.9097614526
"7H",17416.2844182777,20721.3150182878,21082.2247733424,19879.4404924486,17543.1703183413,14686.1383105917
"8A",50943.6392937691,61328.7869732037,65602.7157955397,66191.1806827261,63809.3851603815,59727.0762036926
"9A",93068.0248491777,127464.544069684,135832.513361797,136389.296523057,130710.990600498,121523.943963426
"9B",159407.12498349,193896.476862771,216593.917027772,230340.137679187,235797.307348706,235421.969236381
"10A",205595.05220389,232868.602331455,263071.79317831,283390.15988592,294106.503566887,297671.83525637
"11A",410058.104769953,533169.253301434,560351.235777005,552560.528112858,517751.17697407,468653.574599748
"14A",378088.054105759,761472.081240396,1021381.16999271,1296349.41675862,1559247.97764818,1790759.51802878
"14B",551718.265012882,775568.533781665,847875.053448679,878943.4051522,874639.573588671,847924.118702987
"14C",318518.964134097,491667.607149147,560475.736850249,609895.025777997,639645.412346071,654047.244575475
"14D",47952.0666236877,63531.0668996277,65235.420213755,62321.3007522945,56003.6445026619,48059.6541985993
"15A",306530.340982467,375609.683326569,399124.770351513,399285.813588432,380936.283830624,352304.067564213
"15B",285319.430518972,351526.494029662,390195.070638091,411905.961612002,418291.558988193,414226.275108416
"15C",23965.0477619694,32490.1901688397,34300.3124013569,34024.470034541,32120.606177159,29338.4129550016
"16E",100263.050578386,115398.761149803,119381.366105433,115235.655646618,105014.077703034,91794.3584848263
"16F",127003.29176122,168863.884275958,192179.494466048,208742.880026781,218512.975717817,223027.316972012
"16G",70750.9753771612,110049.768617413,130756.175144661,148682.664394112,162842.990031971,173304.373573769
"17A",67607.4684066772,106161.26476486,144125.786407915,184698.197511801,223795.299706937,258430.675559083
"17B",17715.4063258956,22343.2884020526,23871.4336573998,24048.384944305,23139.7417247143,21613.0049043487
"17C",90868.8373091981,104078.511538194,106949.241646332,102276.963782481,92038.3378646371,79131.4975858742
